epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1347.35,1.05311,2.50827,1.07787,0.39716,0.53255,0.44611,0.33634,0.96828,1.98082,1.06126,0.000207513,0.000207513,0.000207513
2,2704.92,1.00329,1.61844,1.0602,0.4611,0.55196,0.49881,0.37522,1.01608,1.68786,1.1317,0.000402124,0.000402124,0.000402124
3,4046.34,0.98623,1.44137,1.04958,0.51732,0.67566,0.60795,0.45641,0.95049,1.36266,1.06271,0.000582984,0.000582984,0.000582984
4,5396.14,0.97254,1.30333,1.04016,0.5596,0.62313,0.62416,0.48333,0.90585,1.25599,1.04125,0.000563125,0.000563125,0.000563125
5,6724.27,0.942,1.22134,1.0241,0.61096,0.70863,0.66774,0.5185,0.91403,1.09105,1.0703,0.0005425,0.0005425,0.0005425
6,8059.26,0.91583,1.12149,1.01712,0.65502,0.67104,0.72475,0.56809,0.88815,1.00348,1.0266,0.000521875,0.000521875,0.000521875
7,9392.1,0.90603,1.06501,1.00989,0.58106,0.66851,0.67947,0.53018,0.8679,1.00942,1.02117,0.00050125,0.00050125,0.00050125
8,10726.9,0.89086,1.0236,1.00666,0.66362,0.71994,0.73917,0.59383,0.84692,0.9466,1.00551,0.000480625,0.000480625,0.000480625
9,12073,0.87563,0.98056,0.99875,0.81027,0.68121,0.75936,0.61119,0.84519,0.85792,1.00895,0.00046,0.00046,0.00046
10,13402.5,0.86198,0.93593,0.99037,0.74215,0.62831,0.73412,0.58832,0.83973,0.92231,1.00552,0.000439375,0.000439375,0.000439375
11,14738.1,0.85711,0.91043,0.98774,0.79478,0.66313,0.76578,0.62068,0.81298,0.83774,0.9802,0.00041875,0.00041875,0.00041875
12,16069.5,0.84287,0.87994,0.97773,0.78208,0.70537,0.7916,0.64985,0.80504,0.80993,0.98878,0.000398125,0.000398125,0.000398125
13,17405,0.83783,0.86271,0.97769,0.74605,0.72493,0.79035,0.63005,0.81997,0.79705,0.99054,0.0003775,0.0003775,0.0003775
14,18737.9,0.82376,0.85131,0.97499,0.76381,0.67306,0.75084,0.6053,0.80968,0.76046,0.98872,0.000356875,0.000356875,0.000356875
15,20066.5,0.81676,0.81957,0.97013,0.77471,0.72192,0.79512,0.64348,0.79491,0.77663,0.98359,0.00033625,0.00033625,0.00033625
16,21400.9,0.81179,0.80702,0.96932,0.78373,0.73321,0.79924,0.65059,0.80101,0.75645,0.98191,0.000315625,0.000315625,0.000315625
17,22729.3,0.80763,0.7916,0.96699,0.81816,0.71572,0.81009,0.65901,0.78771,0.73009,0.97415,0.000295,0.000295,0.000295
18,24066,0.79682,0.7818,0.95803,0.78194,0.70783,0.80207,0.65065,0.79953,0.7509,0.97847,0.000274375,0.000274375,0.000274375
19,25402.4,0.79133,0.7612,0.95768,0.82331,0.71658,0.83236,0.67679,0.79307,0.72204,0.97207,0.00025375,0.00025375,0.00025375
20,26739.1,0.77895,0.75196,0.95735,0.77887,0.75879,0.82931,0.67466,0.7708,0.68812,0.96374,0.000233125,0.000233125,0.000233125
21,28059.1,0.74067,0.7036,0.93472,0.80875,0.7217,0.80022,0.65005,0.78777,0.7255,0.97432,0.0002125,0.0002125,0.0002125
22,29373.7,0.72875,0.67951,0.93083,0.80474,0.75756,0.82314,0.674,0.75968,0.68648,0.9585,0.000191875,0.000191875,0.000191875
23,30695.8,0.72239,0.65695,0.93337,0.78539,0.75623,0.81122,0.66871,0.761,0.68652,0.95497,0.00017125,0.00017125,0.00017125
24,32025,0.71722,0.64655,0.92593,0.79924,0.75861,0.82154,0.67232,0.75576,0.67694,0.95709,0.000150625,0.000150625,0.000150625
25,33343.6,0.70852,0.62954,0.92286,0.82873,0.74382,0.8302,0.6892,0.75794,0.68496,0.95329,0.00013,0.00013,0.00013
26,34665.1,0.69718,0.61753,0.91644,0.82181,0.76237,0.83424,0.69048,0.75752,0.66714,0.95935,0.000109375,0.000109375,0.000109375
27,35983.3,0.68974,0.59191,0.91845,0.81677,0.76645,0.83271,0.69103,0.74364,0.65886,0.95145,8.88E-05,8.88E-05,8.88E-05
28,37306.4,0.68397,0.58483,0.91056,0.83517,0.7412,0.83543,0.69293,0.7447,0.64956,0.95034,6.81E-05,6.81E-05,6.81E-05
29,38628.4,0.68287,0.58186,0.91017,0.82209,0.74883,0.83613,0.69189,0.73603,0.64091,0.94725,4.75E-05,4.75E-05,4.75E-05
30,39950.3,0.67396,0.56537,0.90816,0.80307,0.7817,0.8414,0.6976,0.73627,0.63774,0.94842,2.69E-05,2.69E-05,2.69E-05
